DOR Code,Municipality,County,Billing Cycle,Form of Government,School Structure,2021 Population,FY 2023 Single Family Tax Bill,2020 DOR Income Per Capita,2022 EQV Per Capita,Land Area,Population Density,2018 Total Road Miles,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures,Tax Levy,State Aid,Local Receipts,Enterprise & CPA Funds,Other Revenue,Total Budget...9,Tax Levy as % of Budget...10,State Aid as % of Budget...11,Local Receipts as % of Budget...12,All Other as % of Budget,Total Budget...14,Tax Levy as % of Budget...15,State Aid as % of Budget...16,Local Receipts as % of Budget...17,Other + CPA + Ent as % of Total,Residential Tax Rate,Open Space Tax Rate,Commercial Tax Rate,Industrial Tax Rate,Personal Property Tax Rate,Residential Levy,Open Space Levy,Commercial Levy,Industrial Levy,Personal Prop Levy,Total Tax Levy,R/O % of Total Levy,CIP as % of Total Levy
056,Chelmsford,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,35933,8235,61805,200214,22.37,1606,206.53,2023,6316662,9092921,6666794,455034,70817242,7840147,1488586,2352711,26454539,2397386,0,11446957,145328979,115950273.6,18809167,10575000,12394860,6651835,151986275.6,76.29,12.38,6.96,4.38,164381135.6,70.54,11.44,6.43,11.59,14.37,0,18.17,18.17,17.98,94387492.46,0,9024644.29,8671212.77,3866924.08,115950273.6,81.4,18.6
057,Chelsea,SUFFOLK,Quarterly,COUNCIL AND ALDERMAN,K-12,38889,3642,23243,132008,2.21,17597,49.84,2023,7130200,12739388,10983637,3860283,106208184,8970123,1380886,1113422,12048878,20118056,0,2504409,187057466,75168504.97,118845936,20091000,25463920.5,11483436.9,225588877.87,33.32,52.68,8.91,5.09,251052798.37,29.94,47.34,8,14.72,12.38,0,24.88,24.88,24.88,40324998.71,0,22022370.53,6354565.97,6466569.76,75168504.97,53.65,46.35
058,Cheshire,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,No data,3236,3258,32228,117497,26.81,121,58.31,2023,830592,216703,83865,37966,3409934,956679,186908,52393,416678,45447,15535,266843,6519543,4728650.54,927471,978862,320209,428955.23,7063938.77,66.94,13.13,13.86,6.07,7384147.77,64.04,12.56,13.26,10.15,11.97,0,11.97,11.97,11.97,4269359.76,0,267312.45,21218.2,170760.13,4728650.54,90.29,9.71
059,Chester,HAMPDEN,Quarterly,OPEN TOWN MEETING,No data,1221,3946,29093,122945,36.61,33,68.11,2023,409671,0,45261,58644,1744575,607073,104816,58701,269468,1459,0,1050,3300718,2894135.38,343558,335000,113905,161543.42,3734236.8,77.5,9.2,8.97,4.33,3848141.8,75.21,8.93,8.71,7.16,17.83,0,17.83,17.83,17.83,2660818.97,0,104286.1,38076.79,90953.52,2894135.38,91.94,8.06
060,Chesterfield,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,No data,1178,5012,22602,161806,30.86,38,58.33,2023,451727,76538,44796,109989,1811322,625616,54501,43337,240138,3505,0,153173,3614642,3330601.23,417619,254944.77,561473,113507.31,4116672.31,80.91,10.14,6.19,2.76,4678145.31,71.19,8.93,5.45,14.43,15.92,0,15.92,15.92,15.92,3174741.96,0,49116.3,15590.14,91152.83,3330601.23,95.32,4.68
061,Chicopee,HAMPDEN,Semi-Annual,COUNCIL AND ALDERMAN,K-12,55190,3819,23956,84578,22.83,2417,262.62,2023,18116818,13298774,13915686,702772,100433666,6875537,2229506,5791255,32311490,11062356,1783273,7029049,213550182,96122925.15,97805345,43266711,0,17643534.18,254838515.33,37.72,38.38,16.98,6.92,254838515.33,37.72,38.38,16.98,6.92,15.15,0,32.83,32.83,32.83,61747360.81,0,15111285.74,8787103.8,10477174.8,96122925.15,64.24,35.76
062,Chilmark,DUKES,Preliminary Semi-Annual,OPEN TOWN MEETING,No data,1248,6389,104706,3107473,19.04,66,21.88,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,11198750.51,9925,1670795,536000,1423145.2,14302615.71,78.3,0.07,11.68,9.95,14838615.71,75.47,0.07,11.26,13.2,2.63,0,2.63,2.63,2.63,10962541.58,0,90105.93,2312.3,143790.7,11198750.51,97.89,2.11
063,Clarksburg,BERKSHIRE,Quarterly,OPEN TOWN MEETING,K-08,1649,3336,27477,90767,12.69,130,20.22,2023,363745,84842,18827,26750,3118714,386549,53532,123907,435016,162053,0,252747,5026682,2368223.12,2641215,335963.1,318131.65,150000,5495401.22,43.09,48.06,6.11,2.73,5813532.87,40.74,45.43,5.78,8.05,15.46,0,15.46,15.46,15.46,2268198.44,0,21293.74,22356.71,56374.23,2368223.12,95.78,4.22
064,Clinton,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,15381,4946,33412,120528,5.65,2722,53.13,2023,4904391,3617157,2174118,269236,26990612,2516127,732022,733336,9712407,1725770,0,1202818,54577994,30614712.04,21174242,3288000,9733825,3966500,59043454.04,51.85,35.86,5.57,6.72,68777279.04,44.51,30.79,4.78,19.92,13.37,0,22.42,22.42,22.42,22608297.85,0,1985082.27,2670658.79,3350673.13,30614712.04,73.85,26.15
065,Cohasset,NORFOLK,Quarterly,OPEN TOWN MEETING,K-12,8373,14380,147522,423630,9.79,855,49.99,2023,5247861,3411634,2849874,349990,22499714,2333904,614453,932662,10780699,341557,0,2726904,52089252,44085905.87,3658152,4030046,10147141.23,5676154.4,57450258.27,76.74,6.37,7.01,9.88,67597399.5,65.22,5.41,5.96,23.41,11.8,0,11.8,11.8,11.8,41256151.02,0,2369736.33,20194.52,439824,44085905.87,93.58,6.42
066,Colrain,FRANKLIN,Semi-Annual,OPEN TOWN MEETING,No data,1615,4243,29984,125772,43.13,37,87.81,2023,477698,183256,132570,22666,2574405,797560,19309,106417,271268,12582,350,9135,4607216,4007809.31,412127,205000,743123,619696,5244632.31,76.42,7.86,3.91,11.82,5987755.31,66.93,6.88,3.42,22.76,19.63,0,19.63,19.63,19.63,3388679.79,0,117936.16,80669.49,420523.87,4007809.31,84.55,15.45
067,Concord,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-08,18184,17481,166197,403522,24.52,742,129.84,2023,8967351,5435764,6300575,510627,69207724,4942511,1274924,2799149,10887274,534147,374661,8038445,119273152,104788382.61,6232589,8205250,4499081,8954547,128180768.61,81.75,4.86,6.4,6.99,132679849.61,78.98,4.7,6.18,10.14,12.96,0,12.96,12.96,12.96,97060685.61,0,6530453.18,357960.44,839283.38,104788382.61,92.63,7.37
068,Conway,FRANKLIN,Semi-Annual,OPEN TOWN MEETING,K-06,1768,5826,43459,168962,37.69,47,70.91,2023,470863,124700,124478,59402,4042088,1105550,35554,13648,785940,95318,1823,150431,7009795,5493589.29,1227174,234000,221956,577404,7532167.29,72.94,16.29,3.11,7.67,7754123.29,70.85,15.83,3.02,10.31,17.15,0,17.15,17.15,17.15,4715013.62,0,146688.39,189437.19,442450.09,5493589.29,85.83,14.17
069,Cummington,HAMPSHIRE,Semi-Annual,OPEN TOWN MEETING,No data,819,4112,57245,187519,22.9,36,61.19,2023,209343,54911,45735,87819,887820,631460,110414,16179,191401,0,658,283245,2518985,2204894.23,256443,152500,371808,219079,2832916.23,77.83,9.05,5.38,7.73,3204724.23,68.8,8,4.76,18.44,14.06,0,14.06,14.06,14.06,1928941.17,0,148439.69,24589.53,102923.84,2204894.23,87.48,12.52
070,Dalton,BERKSHIRE,Quarterly,OPEN TOWN MEETING,No data,6290,4995,37609,116389,21.78,289,47.81,2023,1166191,1365532,0,260006,10465461,2565203,331125,365225,1417649,57572,0,221493,18215457,14404589.61,1779907,2496326,0,1948402,20629224.61,69.83,8.63,12.1,9.44,20629224.61,69.83,8.63,12.1,9.44,18.37,0,18.37,18.37,18.37,12126127.6,0,593828.11,947875.47,736758.43,14404589.61,84.18,15.82
071,Danvers,ESSEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,27898,7118,53419,230045,13.28,2101,126.14,2023,10446503,6843024,5888497,506225,52029404,6887835,547923,2440349,20624490,1554821,0,6410050,114179121,89739842.51,11934671,12199094.7,18747868,9547475,123421083.21,72.71,9.67,9.88,7.74,142168951.21,63.12,8.39,8.58,19.9,11.75,0,19.98,19.98,19.98,60903223.77,0,20820444.39,5717381.9,2298792.45,89739842.51,67.87,32.13
072,Dartmouth,BRISTOL,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,34005,4609,41898,199939,60.92,558,225.52,2023,4575125,8515485,0,746021,56493436,5580449,1372506,1868712,14756573,1638039,978125,2530788,99055259,72489825.73,16666067,9349718,17537646,9290989.19,107796599.92,67.25,15.46,8.67,8.62,125334245.92,57.84,13.3,7.46,21.41,8.78,0,17.62,17.62,17.55,54409737.11,0,11827179.2,1593003.06,4659906.36,72489825.73,75.06,24.94
073,Dedham,NORFOLK,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,25240,8581,68317,261246,10.25,2462,109.82,2023,12912901,7259033,7134034,1382048,48733433,7659171,1015039,3111146,16059314,3624862,1005645,12662352,122558978,101712663.69,11015311,8053207.31,8038680,7951883,128733065,79.01,8.56,6.26,6.18,136771745,74.37,8.05,5.89,11.69,12.84,0,26.55,26.55,26.55,71463943.95,0,23378546.69,1342444.46,5527728.59,101712663.69,70.26,29.74
074,Deerfield,FRANKLIN,Semi-Annual,OPEN TOWN MEETING,K-06,5115,5384,50775,169965,32.39,158,100.75,2023,1296838,1208262,0,163387,10030745,1418452,131071,273949,1690917,447506,0,971929,17633056,13465616.55,2249987,1663000,3779464,1499290.47,18877894.02,71.33,11.92,8.81,7.94,22657358.02,59.43,9.93,7.34,23.3,14.97,0,14.97,14.97,14.97,10159103.08,0,1176153.96,1303783.33,826576.18,13465616.55,75.44,24.56
075,Dennis,BARNSTABLE,Quarterly,OPEN TOWN MEETING,No data,14903,3474,42683,598061,20.51,727,211.51,2023,6698191,6581239,7614308,785428,21149698,5415232,6087160,4386595,7687959,1324672,314573,3169840,71214895,50854988.44,854587,13169566.62,7394859.92,19290762.28,84169904.34,60.42,1.02,15.65,22.92,91564764.26,55.54,0.93,14.38,29.14,4.67,4.67,4.67,4.67,4.67,47931143.82,3352.83,2003886.98,217298.84,699305.97,50854988.44,94.26,5.74
076,Dighton,BRISTOL,Quarterly,OPEN TOWN MEETING,No data,8150,5809,39879,161332,22.03,370,68.74,2023,1804264,1862382,853842,1438656,12093977,2429498,402195,321075,2103060,196898,125402,374593,24005842,20561932.31,986520,2076722.42,890401.51,3716843.63,27342018.36,75.2,3.61,7.6,13.59,28232419.87,72.83,3.49,7.36,16.32,13.94,0,25.64,25.64,25.64,16413429.72,0,840366.1,898112.64,2410023.85,20561932.31,79.82,20.18
077,Douglas,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,9049,5924,42470,143901,36.4,249,83.84,2023,2057199,2717667,1390368,889512,18527261,1524171,255914,351619,4956204,7920,1206,2047725,34726766,20534410.66,10871953,1901361,1922680,2764354,36072078.66,56.93,30.14,5.27,7.66,37994758.66,54.05,28.61,5,12.34,14.36,0,14.36,14.36,14.36,19263658.52,0,403517.51,352430.3,514804.33,20534410.66,93.81,6.19
078,Dover,NORFOLK,Quarterly,OPEN TOWN MEETING,K-05,5892,16736,271550,484535,15.12,390,62.24,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,36443918.57,1813020,2044160,0,4631671.55,44932770.12,81.11,4.03,4.55,10.31,44932770.12,81.11,4.03,4.55,10.31,12.19,0,12.19,12.19,12.19,35362614.99,0,221538,99391.17,760374.41,36443918.57,97.03,2.97
079,Dracut,MIDDLESEX,Quarterly,OPEN TOWN MEETING,K-12,32159,5313,39887,148965,20.63,1559,159.08,2023,4070613,5349890,4888622,439286,43729132,6617027,731117,1014814,17938388,4485182,168287,3987981,93420339,57212576.48,29406365,7874100,14190342,6680305,101173346.48,56.55,29.07,7.78,6.6,115363688.48,49.59,25.49,6.83,18.09,11.58,0,11.58,11.58,11.58,52557298.54,0,2554709.26,728537.35,1372031.33,57212576.48,91.86,8.14
080,Dudley,WORCESTER,Quarterly,OPEN TOWN MEETING,No data,11884,3667,31914,109869,20.82,571,91.02,2023,1745724,2031350,1540294,34627,11173458,1233305,208819,372154,2253045,96361,0,1144648,21833785,14725395.88,2266170,3018334,3808049.27,1265678.93,21275578.81,69.21,10.65,14.19,5.95,25083628.08,58.71,9.03,12.03,20.23,10.16,0,10.16,10.16,10.16,13721053.91,0,370034.49,298993.56,335313.92,14725395.88,93.18,6.82
081,Dunstable,MIDDLESEX,Quarterly,OPEN TOWN MEETING,No data,3341,8855,78539,211951,16.46,203,43.31,2023,675371,1323609,313185,77832,7814420,776820,49576,275960,769712,2268,0,203993,12282746,11275365.02,361737,748267,628949,625371.36,13010740.38,86.66,2.78,5.75,4.81,13639689.38,82.67,2.65,5.49,9.2,14.97,0,14.97,14.97,14.97,10565575.55,0,78048.09,59231.8,572509.58,11275365.02,93.7,6.3
082,Duxbury,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,16116,11665,100256,334418,23.74,679,128.57,2023,4547581,4191980,3534738,3088367,40528150,4355573,766111,3238605,6562324,596789,0,7124179,78534397,67637967.58,7851172,10113614,4857989,8163505.65,93766259.23,72.13,8.37,10.79,8.71,98624248.23,68.58,7.96,10.25,13.2,10.69,0,10.69,10.69,10.69,65309854.15,0,1427408.34,31226.56,869478.53,67637967.58,96.56,3.44
083,East Bridgewater,PLYMOUTH,Quarterly,OPEN TOWN MEETING,K-12,14465,6821,40119,152902,17.21,840,79.39,2023,4246020,3559479,2928894,438505,26573030,2332349,601614,612513,8618090,866859,0,3590105,54367458,34236046.44,14596459,3059785,3971273,6880842.3,58773132.74,58.25,24.84,5.21,11.71,62744405.74,54.56,23.26,4.88,17.3,14.45,0,14.45,14.45,14.45,30752618.29,0,1794081.25,947802.96,741543.94,34236046.44,89.83,10.17
084,East Brookfield,WORCESTER,Preliminary Semi-Annual,OPEN TOWN MEETING,No data,2209,4094,36816,144600,9.85,224,27.57,2023,394352,634219,267012,313902,2345841,746438,87683,168647,605066,88292,668,0,5652120,4309307.94,570340,485729,675228,854763.94,6220140.88,69.28,9.17,7.81,13.74,6895368.88,62.5,8.27,7.04,22.19,13.11,0,13.11,13.11,13.11,3830281.64,0,207699.8,56414.95,214911.55,4309307.94,88.88,11.12
085,East Longmeadow,HAMPDEN,Quarterly,OPEN TOWN MEETING,K-12,16370,6524,48438,141195,13.01,1258,100.79,2023,5817942,3187209,1609718,236294,33392610,3014996,739110,1123193,12407850,643811,0,1665912,63838645,47087091.84,15140825,4479301.84,7448688.67,3621052.25,70328270.93,66.95,21.53,6.37,5.15,77776959.6,60.54,19.47,5.76,14.23,19.2,0,19.2,19.2,19.2,39422190.64,0,3911230.16,2149436.16,1604234.88,47087091.84,83.72,16.28
086,Eastham,BARNSTABLE,Semi-Annual,OPEN TOWN MEETING,K-05,5832,5193,39014,616859,13.96,418,103.71,2023,4457801,2220971,3030206,602595,9866118,2209855,971877,1078337,5295562,793174,0,4924404,35450900,30692166.95,709916,4326729,2394133,4336210,40065021.95,76.61,1.77,10.8,10.82,42459154.95,72.29,1.67,10.19,15.85,7.24,0,7.24,7.24,7.24,29731655.56,0,592226.57,77090.07,291194.75,30692166.95,96.87,3.13
087,Easthampton,HAMPSHIRE,Quarterly,COUNCIL AND ALDERMAN,K-12,16022,5015,33894,119594,13.33,1202,91.58,2023,2998771,3611042,2883039,908450,18011282,2381791,662801,652922,9673545,2904576,0,4771119,49459338,31003246.44,13152965,3137879.34,6980888.46,3050211.55,50344302.33,61.58,26.13,6.23,6.06,57325190.79,54.08,22.94,5.47,17.5,14.65,0,14.65,14.65,14.65,27234957.96,0,1813469.16,819014.11,1135805.21,31003246.44,87.85,12.15
088,Easton,BRISTOL,Quarterly,OPEN TOWN MEETING,K-12,25247,8317,57176,174777,28.75,878,132.84,2023,2851131,5204151,5593562,630836,47031662,4206596,850462,682223,16036709,1329958,173751,6867750,91458791,67557845.7,13486025,7907527,10928779,5289386,94240783.7,71.69,14.31,8.39,5.61,105169562.7,64.24,12.82,7.52,15.42,14.59,0,16.24,16.24,16.24,59568302.69,0,4422784.03,1914609.93,1652149.05,67557845.7,88.17,11.83
089,Edgartown,DUKES,Quarterly,OPEN TOWN MEETING,K-08,5302,5499,67275,2088390,26.81,198,54.02,2023,2759571,3661823,695058,3590658,14916902,3804074,804625,1757988,6757276,2560102,0,631916,41939993,31940516.92,3567833,7598742,2614420,5850885.1,48957977.02,65.24,7.29,15.52,11.95,51572397.02,61.93,6.92,14.73,16.41,2.52,0,2.52,2.52,2.52,29736627.84,0,1527104.68,20515.82,656268.58,31940516.92,93.1,6.9
090,Egremont,BERKSHIRE,Quarterly,OPEN TOWN MEETING,No data,1371,4853,34152,449596,18.68,73,43.44,2023,1076948,553902,149058,106092,1960004,1652596,131910,82888,624835,1640,21237,264959,6626069,5044227.5,327983,535250,228810,453900,6361360.5,79.29,5.16,8.41,7.14,6590170.5,76.54,4.98,8.12,10.36,7,0,7,7,7,4789698.7,0,174120.3,0,80408.5,5044227.5,94.95,5.05
091,Erving,FRANKLIN,Semi-Annual,OPEN TOWN MEETING,K-06,1667,1907,27367,581838,13.82,121,38.25,2023,1268960,579005,343030,162438,5345039,1040888,220018,332651,1896360,283926,0,0,11472315,12075783.4,686878,342864,395287,1408746.85,14514272.25,83.2,4.73,2.36,9.71,14909559.25,80.99,4.61,2.3,12.1,8,8,13.14,13.14,13.14,1254281.28,2484.8,118790.37,6106176.92,4594050.03,12075783.4,10.41,89.59
092,Essex,ESSEX,Quarterly,OPEN TOWN MEETING,No data,3668,10667,73034,294779,13.97,263,29.56,2023,1517088,1310454,299462,309938,10819503,1388075,275511,197416,1299865,32377,0,777305,18226994,16151803.09,316717,1987592.91,3170752,2886360,21342473,75.68,1.48,9.31,13.52,24513225,65.89,1.29,8.11,24.71,13.88,0,13.88,13.88,13.88,14850279.21,0,836832.65,235537.84,229153.39,16151803.09,91.94,8.06
093,Everett,MIDDLESEX,Quarterly,COUNCIL AND ALDERMAN,K-12,48557,4706,24363,195656,3.43,14157,65.37,2023,10016145,16478684,12489981,5542291,106510901,13289156,3756311,1438686,46594269,17966679,0,13171033,247254136,108958844.49,104970599,39573378,22474923,13467294,266970115.49,40.81,39.32,14.82,5.04,289445038.49,37.64,36.27,13.67,12.42,11.78,0,25.36,25.36,25.36,57028419.78,0,19449126.22,18137715.46,14343583.03,108958844.49,52.34,47.66
094,Fairhaven,BRISTOL,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,15909,3921,34968,181158,12.33,1290,109.04,2023,3574803,4754680,3617677,593251,25377603,4284997,1017279,1238717,5357372,672919,0,989078,51478376,32785289.49,12449277,8545547,9912825.18,5499418.11,59279531.6,55.31,21,14.42,9.28,69192356.78,47.38,17.99,12.35,22.27,9.95,0,19.78,19.78,19.78,24888752.98,0,5567870.4,708942.5,1619723.61,32785289.49,75.91,24.09
095,Fall River,BRISTOL,Quarterly,COUNCIL AND ALDERMAN,K-12,93884,4024,20697,83548,33.13,2834,273.29,2023,9053027,23011924,16525671,1184700,154656017,17987691,2130307,3726071,37674921,33286576,0,13474291,312711196,126734873.85,206889601,21670478,53092383,521559,355816511.85,35.62,58.15,6.09,0.15,408908894.85,30.99,50.6,5.3,13.11,12.27,0,25.76,25.76,25.76,86441312.56,0,20005289,11449639.94,8838632.35,126734873.85,68.21,31.79
096,Falmouth,BARNSTABLE,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,33128,5272,50597,466372,44.07,752,350.41,2023,9257815,6977239,10870955,3126517,59295986,16642028,2208292,5184382,27045836,5020324,1107606,14440230,161177210,119186874.02,13969155,22296500,4711050,15028464,170480993.02,69.91,8.19,13.08,8.82,175192043.02,68.03,7.97,12.73,11.27,6.92,6.92,6.92,6.92,6.92,110621409.25,28011.47,5452711.75,744013.49,2340728.06,119186874.02,92.84,7.16
097,Fitchburg,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,41732,4713,23651,88146,27.83,1500,202.47,2023,5695283,9374018,8964887,705864,83492971,9311759,1642490,1550889,19533208,1188366,139672,2310394,143909801,62846655.78,81552168,12226056.22,19621584,9749991.13,166374871.13,37.77,49.02,7.35,5.86,185996455.13,33.79,43.85,6.57,15.79,16.02,0,16.02,16.02,16.02,50611382.03,0,5308657.14,3078980.11,3847636.5,62846655.78,80.53,19.47
098,Florida,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,K-08,685,1548,23828,271396,24.36,28,47.49,2023,355113,12702,96896,3651,1710249,778777,63676,29170,542846,61614,3812,0,3658506,2864563.14,833532,420766,0,350000,4468861.14,64.1,18.65,9.42,7.83,4468861.14,64.1,18.65,9.42,7.83,8.46,0,20.44,20.44,20.44,601463.84,0,25215.21,1983045.9,254838.19,2864563.14,21,79
099,Foxborough,NORFOLK,Quarterly,OPEN TOWN MEETING,K-12,18519,7853,56963,206557,19.85,933,112.11,2023,4258453,5218353,5071623,999922,40058525,2591596,1219629,1183886,14776232,2758377,840092,3466895,82443583,58088615.74,11887321,11726339,9478042,3891837,85594112.74,67.87,13.89,13.7,4.55,95072154.74,61.1,12.5,12.33,14.06,14.21,0,18.37,18.37,18.37,43601064.39,0,10597260.03,1440839.93,2449451.39,58088615.74,75.06,24.94
100,Framingham,MIDDLESEX,Quarterly,REPRESENTATIVE TOWN MEETING,K-12,71265,7113,41182,177369,25.04,2846,241.55,2023,11486736,16560495,15915125,1412000,163529809,13358450,1849526,6671298,62229250,8578452,54724,14145001,315790866,207909726.78,83256855,23600961,64230935,7991103.64,322758646.42,64.42,25.8,7.31,2.48,386989581.42,53.72,21.51,6.1,18.66,13.09,0,27.27,27.27,27.27,134332527.95,0,49931966.23,11333137.66,12312094.94,207909726.78,64.61,35.39
101,Franklin,NORFOLK,Quarterly,COUNCIL AND ALDERMAN,K-12,33036,7470,58842,204003,26.63,1241,169.91,2023,11807579,6532565,7330540,803797,73814315,6329336,921691,2004709,13197124,6696774,371368,6665860,136475658,91023618.64,33202717,11009109,21783486,4953020.12,140188464.76,64.93,23.68,7.85,3.53,161971950.76,56.2,20.5,6.8,16.51,12.58,0,12.58,12.58,12.58,73928517.03,0,5931525.33,8265717.93,2897858.35,91023618.64,81.22,18.78
102,Freetown,BRISTOL,Quarterly,OPEN TOWN MEETING,K-04,9202,5072,42049,197030,34.47,267,107.79,2023,2024653,2871295,2033317,261707,14293156,1966060,411332,310621,3231600,311413,136598,1267650,29119402,26092830.27,2544002,3073000,1353941,4756116.37,36465948.64,71.55,6.98,8.43,13.04,37819889.64,68.99,6.73,8.13,16.16,10.71,0,20.38,20.38,20.38,17200444.4,0,1647016.77,5448284.34,1797084.76,26092830.27,65.92,34.08
103,Gardner,WORCESTER,Quarterly,COUNCIL AND ALDERMAN,K-12,21191,4624,24122,81262,22.08,960,118.06,2023,3427133,3611267,3355392,2303656,28784906,3986437,1108503,1051311,6911138,1921942,380000,3578770,60420455,31523738.74,29832375,5523901.42,10432229.62,3589476.35,70469491.51,44.73,42.33,7.84,5.09,80901721.13,38.97,36.87,6.83,17.33,16.13,0,16.13,16.13,16.13,26161133.54,0,2428231.72,1212317.9,1722055.58,31523738.74,82.99,17.01
104,Aquinnah,DUKES,Quarterly,OPEN TOWN MEETING,No data,450,10901,50593,1912854,5.33,84,13.49,2023,1254008,707959,114769,518366,2011687,350273,76061,264565,729647,0,105553,81845,6214733,5734782.55,9797,460000,691847,131587,6336166.55,90.51,0.15,7.26,2.08,7028013.55,81.6,0.14,6.55,11.72,6.1,0,6.1,6.1,6.1,5627294.07,0,58106.33,1429.84,47952.31,5734782.55,98.13,1.87
105,Georgetown,ESSEX,Quarterly,OPEN TOWN MEETING,K-12,8416,7747,57825,195828,12.86,654,64.58,2023,2036500,1999063,632124,172215,18206867,1168070,407193,553954,6486720,407609,0,2446282,34516597,23561769.53,6903683,3686377,5657293,1517661.21,35669490.74,66.06,19.35,10.33,4.25,41326783.74,57.01,16.71,8.92,17.36,12.98,0,12.98,12.98,12.98,21380887.1,0,755677.29,1105842.78,319362.36,23561769.53,90.74,9.26
106,Gill,FRANKLIN,Preliminary Semi-Annual,OPEN TOWN MEETING,No data,1536,4244,25636,119697,13.76,112,40.41,2023,362823,236869,117128,31151,2014033,777501,34050,42489,256162,45015,0,10466,3927687,3149377.92,324723,318200,0,464893,4257193.92,73.98,7.63,7.47,10.92,4257193.92,73.98,7.63,7.47,10.92,16.91,0,16.91,16.91,16.91,2471392.34,0,210966.94,295732.01,171286.63,3149377.92,78.47,21.53
107,Gloucester,ESSEX,Quarterly,COUNCIL AND ALDERMAN,K-12,29952,8464,45773,288947,26.2,1143,167.04,2023,5788369,8051554,10965734,707194,42308932,13268571,1108578,1181343,28553028,2572470,874230,11767770,127147773,97994705.2,15018504,14760265,19735846,6149198.04,133922672.24,73.17,11.21,11.02,4.59,153658518.24,63.77,9.77,9.61,16.85,10.59,0,10.94,10.94,10.94,89201702.17,0,4739941.77,2178669.16,1874392.1,97994705.2,91.03,8.97
108,Goshen,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,No data,950,4353,17533,185081,17.3,55,42.14,2023,419728,73672,74168,82339,1626538,489065,65095,15049,122457,2652,0,90684,3061447,2908244.87,286507,245000,546546,415779.26,3855531.13,75.43,7.43,6.35,10.78,4402077.13,66.07,6.51,5.57,21.86,14.79,0,14.79,14.79,14.79,2707220.69,0,63665.24,56127.16,81231.78,2908244.87,93.09,6.91
109,Gosnold,DUKES,Semi-Annual,OPEN TOWN MEETING,No data,70,2868,1229,3406727,13.19,5,2,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,777930.4,45287,712843.46,87117.75,200000,1736060.86,44.81,2.61,41.06,11.52,1823178.61,42.67,2.48,39.1,15.75,3.27,0,3.27,3.27,3.27,747180.84,0,25993.23,1559.14,3197.19,777930.4,96.05,3.95
110,Grafton,WORCESTER,Quarterly,OPEN TOWN MEETING,K-12,19756,7980,55978,159168,22.81,866,103.85,2023,3108971,2858415,1111424,290416,43437250,3784183,508494,1349536,9390135,635532,131400,5881844,72487600,53433993.98,15328945,4880056,5861977,3750580.5,77393575.48,69.04,19.81,6.31,4.85,83255552.48,64.18,18.41,5.86,11.55,15.71,0,15.71,15.71,15.71,48488952.12,0,1891801.94,1488617.39,1564622.53,53433993.98,90.75,9.25
111,Granby,HAMPSHIRE,Quarterly,OPEN TOWN MEETING,K-12,6061,5825,40285,126540,27.83,218,68.81,2023,1818814,1300898,805411,415448,9386708,1082013,192708,206012,3603281,1231317,0,1017771,21060381,14767973,6804930,672147,817446,3601727,25846777,57.14,26.33,2.6,13.93,26664223,55.38,25.52,2.52,16.57,17.11,0,17.11,17.11,17.11,13536507.08,0,554191.99,122139.74,555134.19,14767973,91.66,8.34
112,Granville,HAMPDEN,Semi-Annual,OPEN TOWN MEETING,K-08,1533,4335,38723,153967,42.2,36,73,2023,412501,209544,142619,161458,1954108,799528,18811,57305,300620,3039,0,372302,4431835,3520546.58,271371,490900,57050,487553,4770370.58,73.8,5.69,10.29,10.22,4827420.58,72.93,5.62,10.17,11.28,14.18,0,14.18,14.18,14.18,2904501.08,0,129285.1,32514.17,454246.23,3520546.58,82.5,17.5
113,Great Barrington,BERKSHIRE,Semi-Annual,OPEN TOWN MEETING,No data,7164,7048,45947,243042,44.82,160,95.8,2023,2538395,1925945,706137,151163,18972362,1824292,785408,695483,2525497,69932,0,2283317,32477931,26181608.47,1350377,2037179,4215092,5114000,34683164.47,75.49,3.89,5.87,14.74,38898256.47,67.31,3.47,5.24,23.98,14.07,0,14.07,14.07,14.07,21354650.03,0,3726530.66,204763.52,895664.26,26181608.47,81.56,18.44
