source,value,target,town
Total Spending,5435764,Police,Concord
Total Spending,6300575,Fire,Concord
Total Spending,510627,Other Public Safety,Concord
Total Spending,69207724,Education,Concord
Total Spending,4942511,Public Works,Concord
Total Spending,1274924,Human Services,Concord
Total Spending,2799149,Culture and Recreation,Concord
Total Spending,10887274,Fixed Costs,Concord
Total Spending,534147,Intergovernmental Assessments,Concord
Total Spending,374661,Other Expenditures,Concord
Total Spending,8038445,Debt Service,Concord
Residential Levy,4715013.62,Tax Levy,Conway
Open Space Levy,0,Tax Levy,Conway
Commercial Levy,146688.39,Tax Levy,Conway
Industrial Levy,189437.19,Tax Levy,Conway
Personal Prop Levy,442450.09,Tax Levy,Conway
Tax Levy,5493589.29,Total Revenue,Conway
State Aid,1227174,Total Revenue,Conway
Local Receipts,234000,Total Revenue,Conway
Enterprise & CPA Funds,221956,Total Revenue,Conway
Other Revenue,577404,Total Revenue,Conway
Total Revenue,7009795,Total Spending,Conway
Total Revenue,744328.29,Budget Surplus,Conway
Budget Defecit,0,Total Spending,Conway
Total Spending,470863,General Government,Conway
Total Spending,124700,Police,Conway
Total Spending,124478,Fire,Conway
Total Spending,59402,Other Public Safety,Conway
Total Spending,4042088,Education,Conway
Total Spending,1105550,Public Works,Conway
Total Spending,35554,Human Services,Conway
Total Spending,13648,Culture and Recreation,Conway
Total Spending,785940,Fixed Costs,Conway
Total Spending,95318,Intergovernmental Assessments,Conway
Total Spending,1823,Other Expenditures,Conway
Total Spending,150431,Debt Service,Conway
Residential Levy,1928941.17,Tax Levy,Cummington
Open Space Levy,0,Tax Levy,Cummington
Commercial Levy,148439.69,Tax Levy,Cummington
Industrial Levy,24589.53,Tax Levy,Cummington
Personal Prop Levy,102923.84,Tax Levy,Cummington
Tax Levy,2204894.23,Total Revenue,Cummington
State Aid,256443,Total Revenue,Cummington
Local Receipts,152500,Total Revenue,Cummington
Enterprise & CPA Funds,371808,Total Revenue,Cummington
Other Revenue,219079,Total Revenue,Cummington
Total Revenue,2518985,Total Spending,Cummington
Total Revenue,685739.23,Budget Surplus,Cummington
Budget Defecit,0,Total Spending,Cummington
Total Spending,209343,General Government,Cummington
Total Spending,54911,Police,Cummington
Total Spending,45735,Fire,Cummington
Total Spending,87819,Other Public Safety,Cummington
Total Spending,887820,Education,Cummington
Total Spending,631460,Public Works,Cummington
Total Spending,110414,Human Services,Cummington
Total Spending,16179,Culture and Recreation,Cummington
Total Spending,191401,Fixed Costs,Cummington
Total Spending,0,Intergovernmental Assessments,Cummington
Total Spending,658,Other Expenditures,Cummington
Total Spending,283245,Debt Service,Cummington
Residential Levy,12126127.6,Tax Levy,Dalton
Open Space Levy,0,Tax Levy,Dalton
Commercial Levy,593828.11,Tax Levy,Dalton
Industrial Levy,947875.47,Tax Levy,Dalton
Personal Prop Levy,736758.43,Tax Levy,Dalton
Tax Levy,14404589.61,Total Revenue,Dalton
State Aid,1779907,Total Revenue,Dalton
Local Receipts,2496326,Total Revenue,Dalton
Enterprise & CPA Funds,0,Total Revenue,Dalton
Other Revenue,1948402,Total Revenue,Dalton
Total Revenue,18215457,Total Spending,Dalton
Total Revenue,2413767.6099999994,Budget Surplus,Dalton
Budget Defecit,0,Total Spending,Dalton
Total Spending,1166191,General Government,Dalton
Total Spending,1365532,Police,Dalton
Total Spending,0,Fire,Dalton
Total Spending,260006,Other Public Safety,Dalton
Total Spending,10465461,Education,Dalton
Total Spending,2565203,Public Works,Dalton
Total Spending,331125,Human Services,Dalton
Total Spending,365225,Culture and Recreation,Dalton
Total Spending,1417649,Fixed Costs,Dalton
Total Spending,57572,Intergovernmental Assessments,Dalton
Total Spending,0,Other Expenditures,Dalton
Total Spending,221493,Debt Service,Dalton
Residential Levy,60903223.77,Tax Levy,Danvers
Open Space Levy,0,Tax Levy,Danvers
Commercial Levy,20820444.39,Tax Levy,Danvers
Industrial Levy,5717381.9,Tax Levy,Danvers
Personal Prop Levy,2298792.45,Tax Levy,Danvers
Tax Levy,89739842.51,Total Revenue,Danvers
State Aid,11934671,Total Revenue,Danvers
Local Receipts,12199094.7,Total Revenue,Danvers
Enterprise & CPA Funds,18747868,Total Revenue,Danvers
Other Revenue,9547475,Total Revenue,Danvers
Total Revenue,114179121,Total Spending,Danvers
Total Revenue,27989830.21000001,Budget Surplus,Danvers
Budget Defecit,0,Total Spending,Danvers
Total Spending,10446503,General Government,Danvers
Total Spending,6843024,Police,Danvers
Total Spending,5888497,Fire,Danvers
Total Spending,506225,Other Public Safety,Danvers
Total Spending,52029404,Education,Danvers
Total Spending,6887835,Public Works,Danvers
Total Spending,547923,Human Services,Danvers
Total Spending,2440349,Culture and Recreation,Danvers
Total Spending,20624490,Fixed Costs,Danvers
Total Spending,1554821,Intergovernmental Assessments,Danvers
Total Spending,0,Other Expenditures,Danvers
Total Spending,6410050,Debt Service,Danvers
Residential Levy,54409737.11,Tax Levy,Dartmouth
Open Space Levy,0,Tax Levy,Dartmouth
Commercial Levy,11827179.2,Tax Levy,Dartmouth
Industrial Levy,1593003.06,Tax Levy,Dartmouth
Personal Prop Levy,4659906.36,Tax Levy,Dartmouth
Tax Levy,72489825.73,Total Revenue,Dartmouth
State Aid,16666067,Total Revenue,Dartmouth
Local Receipts,9349718,Total Revenue,Dartmouth
Enterprise & CPA Funds,17537646,Total Revenue,Dartmouth
Other Revenue,9290989.19,Total Revenue,Dartmouth
Total Revenue,99055259,Total Spending,Dartmouth
Total Revenue,26278986.92,Budget Surplus,Dartmouth
Budget Defecit,0,Total Spending,Dartmouth
Total Spending,4575125,General Government,Dartmouth
Total Spending,8515485,Police,Dartmouth
Total Spending,0,Fire,Dartmouth
Total Spending,746021,Other Public Safety,Dartmouth
Total Spending,56493436,Education,Dartmouth
Total Spending,5580449,Public Works,Dartmouth
Total Spending,1372506,Human Services,Dartmouth
Total Spending,1868712,Culture and Recreation,Dartmouth
Total Spending,14756573,Fixed Costs,Dartmouth
Total Spending,1638039,Intergovernmental Assessments,Dartmouth
Total Spending,978125,Other Expenditures,Dartmouth
Total Spending,2530788,Debt Service,Dartmouth
Residential Levy,71463943.95,Tax Levy,Dedham
Open Space Levy,0,Tax Levy,Dedham
Commercial Levy,23378546.69,Tax Levy,Dedham
Industrial Levy,1342444.46,Tax Levy,Dedham
Personal Prop Levy,5527728.59,Tax Levy,Dedham
Tax Levy,101712663.69,Total Revenue,Dedham
State Aid,11015311,Total Revenue,Dedham
Local Receipts,8053207.31,Total Revenue,Dedham
Enterprise & CPA Funds,8038680,Total Revenue,Dedham
Other Revenue,7951883,Total Revenue,Dedham
Total Revenue,122558978,Total Spending,Dedham
Total Revenue,14212767,Budget Surplus,Dedham
Budget Defecit,0,Total Spending,Dedham
Total Spending,12912901,General Government,Dedham
Total Spending,7259033,Police,Dedham
Total Spending,7134034,Fire,Dedham
Total Spending,1382048,Other Public Safety,Dedham
Total Spending,48733433,Education,Dedham
Total Spending,7659171,Public Works,Dedham
Total Spending,1015039,Human Services,Dedham
Total Spending,3111146,Culture and Recreation,Dedham
Total Spending,16059314,Fixed Costs,Dedham
Total Spending,3624862,Intergovernmental Assessments,Dedham
Total Spending,1005645,Other Expenditures,Dedham
Total Spending,12662352,Debt Service,Dedham
Residential Levy,10159103.08,Tax Levy,Deerfield
Open Space Levy,0,Tax Levy,Deerfield
Commercial Levy,1176153.96,Tax Levy,Deerfield
Industrial Levy,1303783.33,Tax Levy,Deerfield
Personal Prop Levy,826576.18,Tax Levy,Deerfield
Tax Levy,13465616.55,Total Revenue,Deerfield
State Aid,2249987,Total Revenue,Deerfield
Local Receipts,1663000,Total Revenue,Deerfield
Enterprise & CPA Funds,3779464,Total Revenue,Deerfield
Other Revenue,1499290.47,Total Revenue,Deerfield
Total Revenue,17633056,Total Spending,Deerfield
Total Revenue,5024302.02,Budget Surplus,Deerfield
Budget Defecit,0,Total Spending,Deerfield
Total Spending,1296838,General Government,Deerfield
Total Spending,1208262,Police,Deerfield
Total Spending,0,Fire,Deerfield
Total Spending,163387,Other Public Safety,Deerfield
Total Spending,10030745,Education,Deerfield
Total Spending,1418452,Public Works,Deerfield
Total Spending,131071,Human Services,Deerfield
Total Spending,273949,Culture and Recreation,Deerfield
Total Spending,1690917,Fixed Costs,Deerfield
Total Spending,447506,Intergovernmental Assessments,Deerfield
Total Spending,0,Other Expenditures,Deerfield
Total Spending,971929,Debt Service,Deerfield
Residential Levy,47931143.82,Tax Levy,Dennis
Open Space Levy,3352.83,Tax Levy,Dennis
Commercial Levy,2003886.98,Tax Levy,Dennis
Industrial Levy,217298.84,Tax Levy,Dennis
Personal Prop Levy,699305.97,Tax Levy,Dennis
Tax Levy,50854988.44,Total Revenue,Dennis
State Aid,854587,Total Revenue,Dennis
Local Receipts,13169566.62,Total Revenue,Dennis
Enterprise & CPA Funds,7394859.92,Total Revenue,Dennis
Other Revenue,19290762.28,Total Revenue,Dennis
Total Revenue,71214895,Total Spending,Dennis
Total Revenue,20349869.25999999,Budget Surplus,Dennis
Budget Defecit,0,Total Spending,Dennis
Total Spending,6698191,General Government,Dennis
Total Spending,6581239,Police,Dennis
Total Spending,7614308,Fire,Dennis
Total Spending,785428,Other Public Safety,Dennis
Total Spending,21149698,Education,Dennis
Total Spending,5415232,Public Works,Dennis
Total Spending,6087160,Human Services,Dennis
Total Spending,4386595,Culture and Recreation,Dennis
Total Spending,7687959,Fixed Costs,Dennis
Total Spending,1324672,Intergovernmental Assessments,Dennis
Total Spending,314573,Other Expenditures,Dennis
Total Spending,3169840,Debt Service,Dennis
Residential Levy,16413429.72,Tax Levy,Dighton
Open Space Levy,0,Tax Levy,Dighton
Commercial Levy,840366.1,Tax Levy,Dighton
Industrial Levy,898112.64,Tax Levy,Dighton
Personal Prop Levy,2410023.85,Tax Levy,Dighton
Tax Levy,20561932.31,Total Revenue,Dighton
State Aid,986520,Total Revenue,Dighton
Local Receipts,2076722.42,Total Revenue,Dighton
Enterprise & CPA Funds,890401.51,Total Revenue,Dighton
Other Revenue,3716843.63,Total Revenue,Dighton
Total Revenue,24005842,Total Spending,Dighton
Total Revenue,4226577.869999997,Budget Surplus,Dighton
Budget Defecit,0,Total Spending,Dighton
Total Spending,1804264,General Government,Dighton
Total Spending,1862382,Police,Dighton
Total Spending,853842,Fire,Dighton
Total Spending,1438656,Other Public Safety,Dighton
Total Spending,12093977,Education,Dighton
Total Spending,2429498,Public Works,Dighton
Total Spending,402195,Human Services,Dighton
Total Spending,321075,Culture and Recreation,Dighton
Total Spending,2103060,Fixed Costs,Dighton
Total Spending,196898,Intergovernmental Assessments,Dighton
Total Spending,125402,Other Expenditures,Dighton
Total Spending,374593,Debt Service,Dighton
Residential Levy,19263658.52,Tax Levy,Douglas
Open Space Levy,0,Tax Levy,Douglas
Commercial Levy,403517.51,Tax Levy,Douglas
Industrial Levy,352430.3,Tax Levy,Douglas
Personal Prop Levy,514804.33,Tax Levy,Douglas
Tax Levy,20534410.66,Total Revenue,Douglas
State Aid,10871953,Total Revenue,Douglas
Local Receipts,1901361,Total Revenue,Douglas
Enterprise & CPA Funds,1922680,Total Revenue,Douglas
Other Revenue,2764354,Total Revenue,Douglas
Total Revenue,34726766,Total Spending,Douglas
Total Revenue,3267992.6599999964,Budget Surplus,Douglas
Budget Defecit,0,Total Spending,Douglas
Total Spending,2057199,General Government,Douglas
Total Spending,2717667,Police,Douglas
Total Spending,1390368,Fire,Douglas
Total Spending,889512,Other Public Safety,Douglas
Total Spending,18527261,Education,Douglas
Total Spending,1524171,Public Works,Douglas
Total Spending,255914,Human Services,Douglas
Total Spending,351619,Culture and Recreation,Douglas
Total Spending,4956204,Fixed Costs,Douglas
Total Spending,7920,Intergovernmental Assessments,Douglas
Total Spending,1206,Other Expenditures,Douglas
Total Spending,2047725,Debt Service,Douglas
Residential Levy,35362614.99,Tax Levy,Dover
Open Space Levy,0,Tax Levy,Dover
Commercial Levy,221538,Tax Levy,Dover
Industrial Levy,99391.17,Tax Levy,Dover
Personal Prop Levy,760374.41,Tax Levy,Dover
Tax Levy,36443918.57,Total Revenue,Dover
State Aid,1813020,Total Revenue,Dover
Local Receipts,2044160,Total Revenue,Dover
Enterprise & CPA Funds,0,Total Revenue,Dover
Other Revenue,4631671.55,Total Revenue,Dover
Total Revenue,0,Total Spending,Dover
Total Revenue,44932770.12,Budget Surplus,Dover
Budget Defecit,0,Total Spending,Dover
Total Spending,0,General Government,Dover
Total Spending,0,Police,Dover
Total Spending,0,Fire,Dover
Total Spending,0,Other Public Safety,Dover
Total Spending,0,Education,Dover
Total Spending,0,Public Works,Dover
Total Spending,0,Human Services,Dover
Total Spending,0,Culture and Recreation,Dover
Total Spending,0,Fixed Costs,Dover
Total Spending,0,Intergovernmental Assessments,Dover
Total Spending,0,Other Expenditures,Dover
Total Spending,0,Debt Service,Dover
Residential Levy,52557298.54,Tax Levy,Dracut
Open Space Levy,0,Tax Levy,Dracut
Commercial Levy,2554709.26,Tax Levy,Dracut
Industrial Levy,728537.35,Tax Levy,Dracut
Personal Prop Levy,1372031.33,Tax Levy,Dracut
Tax Levy,57212576.48,Total Revenue,Dracut
State Aid,29406365,Total Revenue,Dracut
Local Receipts,7874100,Total Revenue,Dracut
Enterprise & CPA Funds,14190342,Total Revenue,Dracut
Other Revenue,6680305,Total Revenue,Dracut
Total Revenue,93420339,Total Spending,Dracut
Total Revenue,21943349.47999999,Budget Surplus,Dracut
Budget Defecit,0,Total Spending,Dracut
Total Spending,4070613,General Government,Dracut
Total Spending,5349890,Police,Dracut
Total Spending,4888622,Fire,Dracut
Total Spending,439286,Other Public Safety,Dracut
Total Spending,43729132,Education,Dracut
Total Spending,6617027,Public Works,Dracut
Total Spending,731117,Human Services,Dracut
Total Spending,1014814,Culture and Recreation,Dracut
Total Spending,17938388,Fixed Costs,Dracut
Total Spending,4485182,Intergovernmental Assessments,Dracut
Total Spending,168287,Other Expenditures,Dracut
Total Spending,3987981,Debt Service,Dracut
Residential Levy,13721053.91,Tax Levy,Dudley
Open Space Levy,0,Tax Levy,Dudley
Commercial Levy,370034.49,Tax Levy,Dudley
Industrial Levy,298993.56,Tax Levy,Dudley
Personal Prop Levy,335313.92,Tax Levy,Dudley
Tax Levy,14725395.88,Total Revenue,Dudley
State Aid,2266170,Total Revenue,Dudley
Local Receipts,3018334,Total Revenue,Dudley
Enterprise & CPA Funds,3808049.27,Total Revenue,Dudley
Other Revenue,1265678.93,Total Revenue,Dudley
Total Revenue,21833785,Total Spending,Dudley
Total Revenue,3249843.080000002,Budget Surplus,Dudley
Budget Defecit,0,Total Spending,Dudley
Total Spending,1745724,General Government,Dudley
Total Spending,2031350,Police,Dudley
Total Spending,1540294,Fire,Dudley
Total Spending,34627,Other Public Safety,Dudley
Total Spending,11173458,Education,Dudley
Total Spending,1233305,Public Works,Dudley
Total Spending,208819,Human Services,Dudley
Total Spending,372154,Culture and Recreation,Dudley
Total Spending,2253045,Fixed Costs,Dudley
Total Spending,96361,Intergovernmental Assessments,Dudley
Total Spending,0,Other Expenditures,Dudley
Total Spending,1144648,Debt Service,Dudley
Residential Levy,10565575.55,Tax Levy,Dunstable
Open Space Levy,0,Tax Levy,Dunstable
Commercial Levy,78048.09,Tax Levy,Dunstable
Industrial Levy,59231.8,Tax Levy,Dunstable
Personal Prop Levy,572509.58,Tax Levy,Dunstable
Tax Levy,11275365.02,Total Revenue,Dunstable
State Aid,361737,Total Revenue,Dunstable
Local Receipts,748267,Total Revenue,Dunstable
Enterprise & CPA Funds,628949,Total Revenue,Dunstable
Other Revenue,625371.36,Total Revenue,Dunstable
Total Revenue,12282746,Total Spending,Dunstable
Total Revenue,1356943.379999999,Budget Surplus,Dunstable
Budget Defecit,0,Total Spending,Dunstable
Total Spending,675371,General Government,Dunstable
Total Spending,1323609,Police,Dunstable
Total Spending,313185,Fire,Dunstable
Total Spending,77832,Other Public Safety,Dunstable
Total Spending,7814420,Education,Dunstable
Total Spending,776820,Public Works,Dunstable
Total Spending,49576,Human Services,Dunstable
Total Spending,275960,Culture and Recreation,Dunstable
Total Spending,769712,Fixed Costs,Dunstable
Total Spending,2268,Intergovernmental Assessments,Dunstable
Total Spending,0,Other Expenditures,Dunstable
Total Spending,203993,Debt Service,Dunstable
Residential Levy,65309854.15,Tax Levy,Duxbury
Open Space Levy,0,Tax Levy,Duxbury
Commercial Levy,1427408.34,Tax Levy,Duxbury
Industrial Levy,31226.56,Tax Levy,Duxbury
Personal Prop Levy,869478.53,Tax Levy,Duxbury
Tax Levy,67637967.58,Total Revenue,Duxbury
State Aid,7851172,Total Revenue,Duxbury
Local Receipts,10113614,Total Revenue,Duxbury
Enterprise & CPA Funds,4857989,Total Revenue,Duxbury
Other Revenue,8163505.65,Total Revenue,Duxbury
Total Revenue,78534397,Total Spending,Duxbury
Total Revenue,20089851.230000004,Budget Surplus,Duxbury
Budget Defecit,0,Total Spending,Duxbury
Total Spending,4547581,General Government,Duxbury
Total Spending,4191980,Police,Duxbury
Total Spending,3534738,Fire,Duxbury
Total Spending,3088367,Other Public Safety,Duxbury
Total Spending,40528150,Education,Duxbury
Total Spending,4355573,Public Works,Duxbury
Total Spending,766111,Human Services,Duxbury
Total Spending,3238605,Culture and Recreation,Duxbury
Total Spending,6562324,Fixed Costs,Duxbury
Total Spending,596789,Intergovernmental Assessments,Duxbury
Total Spending,0,Other Expenditures,Duxbury
Total Spending,7124179,Debt Service,Duxbury
Residential Levy,30752618.29,Tax Levy,East Bridgewater
Open Space Levy,0,Tax Levy,East Bridgewater
Commercial Levy,1794081.25,Tax Levy,East Bridgewater
Industrial Levy,947802.96,Tax Levy,East Bridgewater
Personal Prop Levy,741543.94,Tax Levy,East Bridgewater
Tax Levy,34236046.44,Total Revenue,East Bridgewater
State Aid,14596459,Total Revenue,East Bridgewater
Local Receipts,3059785,Total Revenue,East Bridgewater
Enterprise & CPA Funds,3971273,Total Revenue,East Bridgewater
Other Revenue,6880842.3,Total Revenue,East Bridgewater
Total Revenue,54367458,Total Spending,East Bridgewater
Total Revenue,8376947.739999995,Budget Surplus,East Bridgewater
Budget Defecit,0,Total Spending,East Bridgewater
Total Spending,4246020,General Government,East Bridgewater
Total Spending,3559479,Police,East Bridgewater
Total Spending,2928894,Fire,East Bridgewater
Total Spending,438505,Other Public Safety,East Bridgewater
Total Spending,26573030,Education,East Bridgewater
Total Spending,2332349,Public Works,East Bridgewater
Total Spending,601614,Human Services,East Bridgewater
Total Spending,612513,Culture and Recreation,East Bridgewater
Total Spending,8618090,Fixed Costs,East Bridgewater
Total Spending,866859,Intergovernmental Assessments,East Bridgewater
Total Spending,0,Other Expenditures,East Bridgewater
Total Spending,3590105,Debt Service,East Bridgewater
Residential Levy,3830281.64,Tax Levy,East Brookfield
Open Space Levy,0,Tax Levy,East Brookfield
Commercial Levy,207699.8,Tax Levy,East Brookfield
Industrial Levy,56414.95,Tax Levy,East Brookfield
Personal Prop Levy,214911.55,Tax Levy,East Brookfield
Tax Levy,4309307.94,Total Revenue,East Brookfield
State Aid,570340,Total Revenue,East Brookfield
Local Receipts,485729,Total Revenue,East Brookfield
Enterprise & CPA Funds,675228,Total Revenue,East Brookfield
Other Revenue,854763.94,Total Revenue,East Brookfield
Total Revenue,5652120,Total Spending,East Brookfield
Total Revenue,1243248.8800000008,Budget Surplus,East Brookfield
Budget Defecit,0,Total Spending,East Brookfield
Total Spending,394352,General Government,East Brookfield
Total Spending,634219,Police,East Brookfield
Total Spending,267012,Fire,East Brookfield
Total Spending,313902,Other Public Safety,East Brookfield
Total Spending,2345841,Education,East Brookfield
Total Spending,746438,Public Works,East Brookfield
Total Spending,87683,Human Services,East Brookfield
Total Spending,168647,Culture and Recreation,East Brookfield
Total Spending,605066,Fixed Costs,East Brookfield
Total Spending,88292,Intergovernmental Assessments,East Brookfield
Total Spending,668,Other Expenditures,East Brookfield
Total Spending,0,Debt Service,East Brookfield
Residential Levy,39422190.64,Tax Levy,East Longmeadow
Open Space Levy,0,Tax Levy,East Longmeadow
Commercial Levy,3911230.16,Tax Levy,East Longmeadow
Industrial Levy,2149436.16,Tax Levy,East Longmeadow
Personal Prop Levy,1604234.88,Tax Levy,East Longmeadow
Tax Levy,47087091.84,Total Revenue,East Longmeadow
State Aid,15140825,Total Revenue,East Longmeadow
Local Receipts,4479301.84,Total Revenue,East Longmeadow
Enterprise & CPA Funds,7448688.67,Total Revenue,East Longmeadow
Other Revenue,3621052.25,Total Revenue,East Longmeadow
Total Revenue,63838645,Total Spending,East Longmeadow
Total Revenue,13938314.600000009,Budget Surplus,East Longmeadow
Budget Defecit,0,Total Spending,East Longmeadow
Total Spending,5817942,General Government,East Longmeadow
Total Spending,3187209,Police,East Longmeadow
Total Spending,1609718,Fire,East Longmeadow
Total Spending,236294,Other Public Safety,East Longmeadow
Total Spending,33392610,Education,East Longmeadow
Total Spending,3014996,Public Works,East Longmeadow
Total Spending,739110,Human Services,East Longmeadow
Total Spending,1123193,Culture and Recreation,East Longmeadow
Total Spending,12407850,Fixed Costs,East Longmeadow
Total Spending,643811,Intergovernmental Assessments,East Longmeadow
Total Spending,0,Other Expenditures,East Longmeadow
Total Spending,1665912,Debt Service,East Longmeadow
Residential Levy,29731655.56,Tax Levy,Eastham
Open Space Levy,0,Tax Levy,Eastham
Commercial Levy,592226.57,Tax Levy,Eastham
Industrial Levy,77090.07,Tax Levy,Eastham
Personal Prop Levy,291194.75,Tax Levy,Eastham
Tax Levy,30692166.95,Total Revenue,Eastham
State Aid,709916,Total Revenue,Eastham
Local Receipts,4326729,Total Revenue,Eastham
Enterprise & CPA Funds,2394133,Total Revenue,Eastham
Other Revenue,4336210,Total Revenue,Eastham
Total Revenue,35450900,Total Spending,Eastham
Total Revenue,7008254.950000003,Budget Surplus,Eastham
Budget Defecit,0,Total Spending,Eastham
Total Spending,4457801,General Government,Eastham
Total Spending,2220971,Police,Eastham
Total Spending,3030206,Fire,Eastham
Total Spending,602595,Other Public Safety,Eastham
Total Spending,9866118,Education,Eastham
Total Spending,2209855,Public Works,Eastham
Total Spending,971877,Human Services,Eastham
Total Spending,1078337,Culture and Recreation,Eastham
Total Spending,5295562,Fixed Costs,Eastham
Total Spending,793174,Intergovernmental Assessments,Eastham
Total Spending,0,Other Expenditures,Eastham
Total Spending,4924404,Debt Service,Eastham
Residential Levy,27234957.96,Tax Levy,Easthampton
Open Space Levy,0,Tax Levy,Easthampton
Commercial Levy,1813469.16,Tax Levy,Easthampton
Industrial Levy,819014.11,Tax Levy,Easthampton
Personal Prop Levy,1135805.21,Tax Levy,Easthampton
Tax Levy,31003246.44,Total Revenue,Easthampton
State Aid,13152965,Total Revenue,Easthampton
Local Receipts,3137879.34,Total Revenue,Easthampton
Enterprise & CPA Funds,6980888.46,Total Revenue,Easthampton
Other Revenue,3050211.55,Total Revenue,Easthampton
Total Revenue,49459338,Total Spending,Easthampton
Total Revenue,7865852.789999999,Budget Surplus,Easthampton
Budget Defecit,0,Total Spending,Easthampton
Total Spending,2998771,General Government,Easthampton
Total Spending,3611042,Police,Easthampton
Total Spending,2883039,Fire,Easthampton
Total Spending,908450,Other Public Safety,Easthampton
Total Spending,18011282,Education,Easthampton
Total Spending,2381791,Public Works,Easthampton
Total Spending,662801,Human Services,Easthampton
Total Spending,652922,Culture and Recreation,Easthampton
Total Spending,9673545,Fixed Costs,Easthampton
Total Spending,2904576,Intergovernmental Assessments,Easthampton
Total Spending,0,Other Expenditures,Easthampton
Total Spending,4771119,Debt Service,Easthampton
Residential Levy,59568302.69,Tax Levy,Easton
Open Space Levy,0,Tax Levy,Easton
Commercial Levy,4422784.03,Tax Levy,Easton
Industrial Levy,1914609.93,Tax Levy,Easton
Personal Prop Levy,1652149.05,Tax Levy,Easton
Tax Levy,67557845.7,Total Revenue,Easton
State Aid,13486025,Total Revenue,Easton
Local Receipts,7907527,Total Revenue,Easton
Enterprise & CPA Funds,10928779,Total Revenue,Easton
Other Revenue,5289386,Total Revenue,Easton
Total Revenue,91458791,Total Spending,Easton
Total Revenue,13710771.700000003,Budget Surplus,Easton
Budget Defecit,0,Total Spending,Easton
Total Spending,2851131,General Government,Easton
Total Spending,5204151,Police,Easton
Total Spending,5593562,Fire,Easton
Total Spending,630836,Other Public Safety,Easton
Total Spending,47031662,Education,Easton
Total Spending,4206596,Public Works,Easton
Total Spending,850462,Human Services,Easton
Total Spending,682223,Culture and Recreation,Easton
Total Spending,16036709,Fixed Costs,Easton
Total Spending,1329958,Intergovernmental Assessments,Easton
Total Spending,173751,Other Expenditures,Easton
Total Spending,6867750,Debt Service,Easton
Residential Levy,29736627.84,Tax Levy,Edgartown
Open Space Levy,0,Tax Levy,Edgartown
Commercial Levy,1527104.68,Tax Levy,Edgartown
Industrial Levy,20515.82,Tax Levy,Edgartown
Personal Prop Levy,656268.58,Tax Levy,Edgartown
Tax Levy,31940516.92,Total Revenue,Edgartown
State Aid,3567833,Total Revenue,Edgartown
Local Receipts,7598742,Total Revenue,Edgartown
Enterprise & CPA Funds,2614420,Total Revenue,Edgartown
Other Revenue,5850885.1,Total Revenue,Edgartown
Total Revenue,41939993,Total Spending,Edgartown
Total Revenue,9632404.020000003,Budget Surplus,Edgartown
Budget Defecit,0,Total Spending,Edgartown
Total Spending,2759571,General Government,Edgartown
Total Spending,3661823,Police,Edgartown
Total Spending,695058,Fire,Edgartown
Total Spending,3590658,Other Public Safety,Edgartown
Total Spending,14916902,Education,Edgartown
Total Spending,3804074,Public Works,Edgartown
Total Spending,804625,Human Services,Edgartown
Total Spending,1757988,Culture and Recreation,Edgartown
Total Spending,6757276,Fixed Costs,Edgartown
Total Spending,2560102,Intergovernmental Assessments,Edgartown
Total Spending,0,Other Expenditures,Edgartown
Total Spending,631916,Debt Service,Edgartown
Residential Levy,4789698.7,Tax Levy,Egremont
Open Space Levy,0,Tax Levy,Egremont
Commercial Levy,174120.3,Tax Levy,Egremont
Industrial Levy,0,Tax Levy,Egremont
Personal Prop Levy,80408.5,Tax Levy,Egremont
Tax Levy,5044227.5,Total Revenue,Egremont
State Aid,327983,Total Revenue,Egremont
Local Receipts,535250,Total Revenue,Egremont
Enterprise & CPA Funds,228810,Total Revenue,Egremont
Other Revenue,453900,Total Revenue,Egremont
Total Revenue,6590170.5,Total Spending,Egremont
Total Revenue,0,Budget Surplus,Egremont
Budget Defecit,35898.5,Total Spending,Egremont
Total Spending,1076948,General Government,Egremont
Total Spending,553902,Police,Egremont
Total Spending,149058,Fire,Egremont
Total Spending,106092,Other Public Safety,Egremont
Total Spending,1960004,Education,Egremont
Total Spending,1652596,Public Works,Egremont
Total Spending,131910,Human Services,Egremont
Total Spending,82888,Culture and Recreation,Egremont
Total Spending,624835,Fixed Costs,Egremont
Total Spending,1640,Intergovernmental Assessments,Egremont
Total Spending,21237,Other Expenditures,Egremont
Total Spending,264959,Debt Service,Egremont
Residential Levy,1254281.28,Tax Levy,Erving
Open Space Levy,2484.8,Tax Levy,Erving
Commercial Levy,118790.37,Tax Levy,Erving
Industrial Levy,6106176.92,Tax Levy,Erving
Personal Prop Levy,4594050.03,Tax Levy,Erving
Tax Levy,12075783.4,Total Revenue,Erving
State Aid,686878,Total Revenue,Erving
Local Receipts,342864,Total Revenue,Erving
Enterprise & CPA Funds,395287,Total Revenue,Erving
Other Revenue,1408746.85,Total Revenue,Erving
Total Revenue,11472315,Total Spending,Erving
Total Revenue,3437244.25,Budget Surplus,Erving
Budget Defecit,0,Total Spending,Erving
Total Spending,1268960,General Government,Erving
Total Spending,579005,Police,Erving
Total Spending,343030,Fire,Erving
Total Spending,162438,Other Public Safety,Erving
Total Spending,5345039,Education,Erving
Total Spending,1040888,Public Works,Erving
Total Spending,220018,Human Services,Erving
Total Spending,332651,Culture and Recreation,Erving
